	protein_sequence1	protein_sequence2
0	2473	2280
1	1301	937
2	2404	1898
3	2404	678
4	2404	393
5	2404	1679
6	1148	471
7	1148	328
8	1046	1024
9	1879	693
10	1879	1653
11	1632	328
12	1057	328
13	907	2280
14	1032	1134
15	343	1735
16	343	818
17	343	461
18	163	26
19	2537	328
20	884	1757
21	858	393
22	960	2589
23	1222	1351
24	1045	1429
25	306	2510
26	212	328
27	2584	2355
28	665	377
29	1352	2280
30	1352	2211
31	1352	1757
32	1352	720
33	116	2355
34	1668	2249
35	2452	1757
36	2090	2034
37	637	2280
38	637	2249
39	2159	2034
40	346	1883
41	346	2034
42	346	1830
43	346	2297
44	2261	9
45	2261	1591
46	2350	2034
47	743	1975
48	743	2196
49	743	377
50	1917	736
51	1917	800
52	1917	84
53	1917	1975
54	1917	1097
55	1917	377
56	1917	130
57	1917	2509
58	1917	485
59	1802	1
60	1802	1883
61	1973	2280
62	1448	1213
63	1448	2173
64	1448	1278
65	1448	1294
66	1448	2453
67	1448	377
68	1448	328
69	1448	692
70	358	2034
71	2419	780
72	2592	2034
73	1619	702
74	1619	328
75	1619	824
76	1619	1975
77	1619	1757
78	1619	503
79	1619	2034
80	1619	2331
81	1619	1036
82	1619	471
83	1619	503
84	2432	328
85	2432	471
86	1147	2056
87	994	2453
88	994	2331
89	994	692
90	1341	2057
91	472	2280
92	472	2331
93	389	1036
94	266	2543
95	1557	377
96	1557	84
97	1557	1097
98	1557	2280
99	1557	1822
100	2377	2327
101	2377	908
102	2377	1975
103	2377	377
104	2377	84
105	2377	1097
106	2377	2211
107	2377	1822
108	2377	171
109	2377	2280
110	1529	144
111	1529	2280
112	1846	692
113	1846	1787
114	1846	1134
115	774	1653
116	774	377
117	774	692
118	774	2453
119	774	1134
120	2201	1883
121	2201	1
122	90	559
123	2372	692
124	269	290
125	269	2134
126	269	1300
127	269	1197
128	269	650
129	269	592
130	269	2450
131	2304	144
132	2304	1883
133	2304	2280
134	576	144
135	576	2280
136	576	2211
137	1247	2355
138	1247	503
139	1247	1843
140	2146	2249
141	2146	2280
142	1494	780
143	2341	973
144	1989	1435
145	1544	2249
146	2389	1097
147	1038	377
148	1038	2280
149	2481	702
150	1662	1883
151	1662	1830
152	1662	949
153	1662	1
154	283	2211
155	2166	1056
156	1773	1419
157	1956	1134
158	509	2034
159	1649	2249
160	1649	780
161	1649	1859
162	1321	2134
163	1321	2280
164	2253	377
165	2303	2249
166	2303	693
167	614	328
168	614	471
169	741	1898
170	741	559
171	741	708
172	741	2299
173	741	824
174	1881	2249
175	1881	2331
176	1881	1757
177	1508	1036
178	1313	2249
179	815	2669
180	815	2034
181	2456	1975
182	2456	377
183	2456	800
184	2456	84
185	2456	26
186	2456	485
187	2456	2281
188	1387	780
189	1387	2280
190	1387	2211
191	170	1134
192	2023	517
193	1743	1677
194	1128	1710
195	1774	377
196	388	601
197	1480	2214
198	1320	1373
199	2093	2211
200	2625	1429
201	1678	1653
202	1678	2331
203	1678	1975
204	1678	377
205	1678	2211
206	1604	2134
207	969	1883
208	969	1134
209	969	1
210	315	1762
211	315	1488
212	315	1710
213	1103	2034
214	1877	949
215	2230	1419
216	2230	851
217	1599	2134
218	1599	650
219	1599	2450
220	833	2211
221	1462	377
222	1462	2280
223	2646	2249
224	2646	2331
225	2646	2280
226	2386	1883
227	1808	1653
228	1808	1818
229	1808	1975
230	1808	377
231	1808	800
232	1808	1563
233	1307	2249
234	1307	1863
235	1307	2280
236	1307	1981
237	273	1710
238	370	2355
239	1093	207
240	1261	2034
241	2185	2599
242	1345	610
243	1345	2008
244	1345	1157
245	1345	771
246	2524	2034
247	2524	2331
248	2524	1036
249	2524	2196
250	2524	2211
251	2524	1757
252	2524	471
253	2524	328
254	638	2331
255	1954	2327
256	1954	908
257	1954	1595
258	1954	1036
259	1954	2280
260	1954	1757
261	2713	2034
262	2713	2331
263	1520	1653
264	1520	2331
265	1993	1653
266	1993	2280
267	1993	2211
268	1993	1563
269	958	2249
270	434	937
271	1700	1653
272	1700	2331
273	1700	970
274	1700	2280
275	1700	2211
276	1700	1563
277	2337	377
278	1400	1419
279	1756	1435
280	1756	2280
281	2670	679
282	2670	748
283	1528	1653
284	1528	2034
285	1528	917
286	1528	750
287	1528	2280
288	1528	2211
289	455	2034
290	282	2034
291	282	546
292	1004	2034
293	1004	2331
294	504	1270
295	2572	780
296	2572	1702
297	2572	1134
298	2658	2331
299	2436	1731
300	1692	1883
301	1692	2034
302	1692	300
303	1011	1435
304	2199	2331
305	556	610
306	556	2034
307	556	1157
308	556	2163
309	556	2438
310	2594	2560
311	1745	1883
312	2247	2280
313	341	144
314	191	2034
315	787	2280
316	2444	171
317	2444	1653
318	2444	2034
319	2444	1975
320	2444	692
321	2444	824
322	2444	84
323	2444	1787
324	2444	1981
325	2444	2453
326	2444	1563
327	2444	503
328	2444	1512
329	1839	2249
330	1839	2280
331	1364	2034
332	1364	2050
333	657	2249
334	2709	846
335	125	1998
336	1461	2134
337	1137	924
338	1137	2281
339	2314	610
340	2314	1157
341	2314	771
342	383	2249
343	383	2280
344	383	1886
345	1650	2355
346	1636	2560
347	1707	1653
348	1707	683
349	1707	2280
350	1707	1757
351	929	2034
352	929	377
353	557	1787
354	561	377
355	1741	471
356	1105	1883
357	1105	1
358	126	1134
359	126	1735
360	126	818
361	126	377
362	126	124
363	126	1281
364	126	1097
365	126	1506
366	126	2453
367	126	513
368	35	1151
369	2119	1134
370	703	1134
371	764	450
372	764	1134
373	764	1883
374	764	2331
375	764	1975
376	764	377
377	764	800
378	764	824
379	764	84
380	764	1787
381	764	2196
382	764	2211
383	764	2453
384	764	485
385	764	2227
386	1481	290
387	587	2280
388	1408	1157
389	1408	2358
390	112	1883
391	112	1830
392	195	1710
393	2270	1335
394	2270	551
395	1159	2331
396	1159	2196
397	1159	2211
398	1159	1757
399	742	2331
400	688	2327
401	688	908
402	688	1653
403	688	1975
404	688	377
405	688	800
406	688	84
407	85	1282
408	85	377
409	1670	1883
410	1670	1757
411	1670	2297
412	2413	1653
413	2413	2034
414	2413	1975
415	2413	1787
416	2407	377
417	2407	2280
418	710	2280
419	2518	692
420	413	1278
421	2181	2280
422	1185	1435
423	1185	2280
424	364	2327
425	364	908
426	986	2034
427	996	2560
428	2433	2034
429	2433	1757
430	1793	2560
431	512	2034
432	512	1213
433	1272	1466
434	1878	1653
435	1878	1975
436	1878	800
437	1878	84
438	1837	2034
439	2551	2034
440	2551	1419
441	2551	2163
442	1682	2280
443	1682	2211
444	1029	924
445	1029	2281
446	127	1653
447	127	2280
448	127	2211
449	100	2249
450	521	1898
451	521	2211
452	521	1444
453	521	1024
454	521	2034
455	521	678
456	521	949
457	521	2229
458	521	1373
459	521	2641
460	1127	2034
461	1306	147
462	1306	1564
463	1869	1435
464	1425	1510
465	529	1653
466	529	2249
467	529	780
468	529	2280
469	529	2281
470	1976	2280
471	1976	2211
472	1010	1975
473	1010	377
474	1010	2196
475	1010	2211
476	1010	328
477	2653	780
478	255	2280
479	2259	471
480	2312	377
481	2312	851
482	2312	692
