	protein_sequence1	protein_sequence2	interaction
0	2473	2280	1
1	1301	937	1
2	2404	1898	1
3	2404	678	1
4	2404	393	1
5	2404	1679	1
6	1148	471	1
7	1148	328	1
8	1046	1024	1
9	1879	693	1
10	1879	1653	1
11	1632	328	1
12	1057	328	1
13	907	2280	1
14	1032	1134	1
15	343	1735	1
16	343	818	1
17	343	461	1
18	163	26	1
19	2537	328	1
20	884	1757	1
21	858	393	1
22	960	2589	1
23	1222	1351	1
24	1045	1429	1
25	306	2510	1
26	212	328	1
27	2584	2355	1
28	665	377	1
29	1352	2280	1
30	1352	2211	1
31	1352	1757	1
32	1352	720	1
33	116	2355	1
34	1668	2249	1
35	2452	1757	1
36	2090	2034	1
37	637	2280	1
38	637	2249	1
39	2159	2034	1
40	346	1883	1
41	346	2034	1
42	346	1830	1
43	346	2297	1
44	2261	9	1
45	2261	1591	1
46	2350	2034	1
47	743	1975	1
48	743	2196	1
49	743	377	1
50	1917	736	1
51	1917	800	1
52	1917	84	1
53	1917	1975	1
54	1917	1097	1
55	1917	377	1
56	1917	130	1
57	1917	2509	1
58	1917	485	1
59	1802	1	1
60	1802	1883	1
61	1973	2280	1
62	1448	1213	1
63	1448	2173	1
64	1448	1278	1
65	1448	1294	1
66	1448	2453	1
67	1448	377	1
68	1448	328	1
69	1448	692	1
70	358	2034	1
71	2419	780	1
72	2592	2034	1
73	1619	702	1
74	1619	328	1
75	1619	824	1
76	1619	1975	1
77	1619	1757	1
78	1619	503	1
79	1619	2034	1
80	1619	2331	1
81	1619	1036	1
82	1619	471	1
83	1619	503	1
84	2432	328	1
85	2432	471	1
86	1147	2056	1
87	994	2453	1
88	994	2331	1
89	994	692	1
90	1341	2057	1
91	472	2280	1
92	472	2331	1
93	389	1036	1
94	266	2543	1
95	1557	377	1
96	1557	84	1
97	1557	1097	1
98	1557	2280	1
99	1557	1822	1
100	2377	2327	1
101	2377	908	1
102	2377	1975	1
103	2377	377	1
104	2377	84	1
105	2377	1097	1
106	2377	2211	1
107	2377	1822	1
108	2377	171	1
109	2377	2280	1
110	1529	144	1
111	1529	2280	1
112	1846	692	1
113	1846	1787	1
114	1846	1134	1
115	774	1653	1
116	774	377	1
117	774	692	1
118	774	2453	1
119	774	1134	1
120	2201	1883	1
121	2201	1	1
122	90	559	1
123	2372	692	1
124	269	290	1
125	269	2134	1
126	269	1300	1
127	269	1197	1
128	269	650	1
129	269	592	1
130	269	2450	1
131	2304	144	1
132	2304	1883	1
133	2304	2280	1
134	576	144	1
135	576	2280	1
136	576	2211	1
137	1247	2355	1
138	1247	503	1
139	1247	1843	1
140	2146	2249	1
141	2146	2280	1
142	1494	780	1
143	2341	973	1
144	1989	1435	1
145	1544	2249	1
146	2389	1097	1
147	1038	377	1
148	1038	2280	1
149	2481	702	1
150	1662	1883	1
151	1662	1830	1
152	1662	949	1
153	1662	1	1
154	283	2211	1
155	2166	1056	1
156	1773	1419	1
157	1956	1134	1
158	509	2034	1
159	1649	2249	1
160	1649	780	1
161	1649	1859	1
162	1321	2134	1
163	1321	2280	1
164	2253	377	1
165	2303	2249	1
166	2303	693	1
167	614	328	1
168	614	471	1
169	741	1898	1
170	741	559	1
171	741	708	1
172	741	2299	1
173	741	824	1
174	1881	2249	1
175	1881	2331	1
176	1881	1757	1
177	1508	1036	1
178	1313	2249	1
179	815	2669	1
180	815	2034	1
181	2456	1975	1
182	2456	377	1
183	2456	800	1
184	2456	84	1
185	2456	26	1
186	2456	485	1
187	2456	2281	1
188	1387	780	1
189	1387	2280	1
190	1387	2211	1
191	170	1134	1
192	2023	517	1
193	1743	1677	1
194	1128	1710	1
195	1774	377	1
196	388	601	1
197	1480	2214	1
198	1320	1373	1
199	2093	2211	1
200	2625	1429	1
201	1678	1653	1
202	1678	2331	1
203	1678	1975	1
204	1678	377	1
205	1678	2211	1
206	1604	2134	1
207	969	1883	1
208	969	1134	1
209	969	1	1
210	315	1762	1
211	315	1488	1
212	315	1710	1
213	1103	2034	1
214	1877	949	1
215	2230	1419	1
216	2230	851	1
217	1599	2134	1
218	1599	650	1
219	1599	2450	1
220	833	2211	1
221	1462	377	1
222	1462	2280	1
223	2646	2249	1
224	2646	2331	1
225	2646	2280	1
226	2386	1883	1
227	1808	1653	1
228	1808	1818	1
229	1808	1975	1
230	1808	377	1
231	1808	800	1
232	1808	1563	1
233	1307	2249	1
234	1307	1863	1
235	1307	2280	1
236	1307	1981	1
237	273	1710	1
238	370	2355	1
239	1093	207	1
240	1261	2034	1
241	2185	2599	1
242	1345	610	1
243	1345	2008	1
244	1345	1157	1
245	1345	771	1
246	2524	2034	1
247	2524	2331	1
248	2524	1036	1
249	2524	2196	1
250	2524	2211	1
251	2524	1757	1
252	2524	471	1
253	2524	328	1
254	638	2331	1
255	1954	2327	1
256	1954	908	1
257	1954	1595	1
258	1954	1036	1
259	1954	2280	1
260	1954	1757	1
261	2713	2034	1
262	2713	2331	1
263	1520	1653	1
264	1520	2331	1
265	1993	1653	1
266	1993	2280	1
267	1993	2211	1
268	1993	1563	1
269	958	2249	1
270	434	937	1
271	1700	1653	1
272	1700	2331	1
273	1700	970	1
274	1700	2280	1
275	1700	2211	1
276	1700	1563	1
277	2337	377	1
278	1400	1419	1
279	1756	1435	1
280	1756	2280	1
281	2670	679	1
282	2670	748	1
283	1528	1653	1
284	1528	2034	1
285	1528	917	1
286	1528	750	1
287	1528	2280	1
288	1528	2211	1
289	455	2034	1
290	282	2034	1
291	282	546	1
292	1004	2034	1
293	1004	2331	1
294	504	1270	1
295	2572	780	1
296	2572	1702	1
297	2572	1134	1
298	2658	2331	1
299	2436	1731	1
300	1692	1883	1
301	1692	2034	1
302	1692	300	1
303	1011	1435	1
304	2199	2331	1
305	556	610	1
306	556	2034	1
307	556	1157	1
308	556	2163	1
309	556	2438	1
310	2594	2560	1
311	1745	1883	1
312	2247	2280	1
313	341	144	1
314	191	2034	1
315	787	2280	1
316	2444	171	1
317	2444	1653	1
318	2444	2034	1
319	2444	1975	1
320	2444	692	1
321	2444	824	1
322	2444	84	1
323	2444	1787	1
324	2444	1981	1
325	2444	2453	1
326	2444	1563	1
327	2444	503	1
328	2444	1512	1
329	1839	2249	1
330	1839	2280	1
331	1364	2034	1
332	1364	2050	1
333	657	2249	1
334	2709	846	1
335	125	1998	1
336	1461	2134	1
337	1137	924	1
338	1137	2281	1
339	2314	610	1
340	2314	1157	1
341	2314	771	1
342	383	2249	1
343	383	2280	1
344	383	1886	1
345	1650	2355	1
346	1636	2560	1
347	1707	1653	1
348	1707	683	1
349	1707	2280	1
350	1707	1757	1
351	929	2034	1
352	929	377	1
353	557	1787	1
354	561	377	1
355	1741	471	1
356	1105	1883	1
357	1105	1	1
358	126	1134	1
359	126	1735	1
360	126	818	1
361	126	377	1
362	126	124	1
363	126	1281	1
364	126	1097	1
365	126	1506	1
366	126	2453	1
367	126	513	1
368	35	1151	1
369	2119	1134	1
370	703	1134	1
371	764	450	1
372	764	1134	1
373	764	1883	1
374	764	2331	1
375	764	1975	1
376	764	377	1
377	764	800	1
378	764	824	1
379	764	84	1
380	764	1787	1
381	764	2196	1
382	764	2211	1
383	764	2453	1
384	764	485	1
385	764	2227	1
386	1481	290	1
387	587	2280	1
