	protein_sequence1	protein_sequence2	interaction
0	1621	1522	1
1	2162	453	1
2	1340	335	1
3	1340	1395	1
4	1340	1062	1
5	1340	835	1
6	1674	144	1
7	1674	1743	1
8	1389	2376	1
9	2681	1319	1
10	2681	463	1
11	1159	1743	1
12	1083	1743	1
13	47	1522	1
14	1648	1881	1
15	2326	809	1
16	2326	2221	1
17	2326	1540	1
18	2166	1166	1
19	2730	1743	1
20	1753	73	1
21	277	1062	1
22	1731	2436	1
23	343	1878	1
24	1491	2379	1
25	1712	1909	1
26	900	1743	1
27	2725	2456	1
28	2175	1924	1
29	1263	1522	1
30	1263	2677	1
31	1263	73	1
32	1263	1871	1
33	2313	2456	1
34	1099	2544	1
35	1497	73	1
36	81	2490	1
37	942	1522	1
38	942	2544	1
39	266	2490	1
40	1820	2427	1
41	1820	2490	1
42	1820	1355	1
43	1820	590	1
44	2131	2337	1
45	2131	1370	1
46	2448	2490	1
47	1219	272	1
48	1219	1157	1
49	1219	1924	1
50	1981	2724	1
51	1981	2498	1
52	1981	2594	1
53	1981	272	1
54	1981	314	1
55	1981	1924	1
56	1981	2136	1
57	1981	1563	1
58	1981	1068	1
59	1419	327	1
60	1419	2427	1
61	2638	1522	1
62	1940	1330	1
63	1940	1736	1
64	1940	1792	1
65	1940	27	1
66	1940	30	1
67	1940	1924	1
68	1940	1743	1
69	1940	1607	1
70	1193	2490	1
71	962	163	1
72	2390	2490	1
73	2562	2140	1
74	2562	1743	1
75	2562	290	1
76	2562	272	1
77	2562	73	1
78	2562	1035	1
79	2562	2490	1
80	2562	878	1
81	2562	1218	1
82	2562	144	1
83	2562	1035	1
84	1095	1743	1
85	1095	144	1
86	2043	2072	1
87	2303	30	1
88	2303	878	1
89	2303	1607	1
90	1536	1679	1
91	447	1522	1
92	447	878	1
93	2323	1218	1
94	717	1895	1
95	381	1924	1
96	381	2594	1
97	381	314	1
98	381	1522	1
99	381	330	1
100	2058	1970	1
101	2058	485	1
102	2058	272	1
103	2058	1924	1
104	2058	2594	1
105	2058	314	1
106	2058	2677	1
107	2058	330	1
108	2058	2189	1
109	2058	1522	1
110	2034	2205	1
111	2034	1522	1
112	1200	1607	1
113	1200	1685	1
114	1200	1881	1
115	263	463	1
116	263	1924	1
117	263	1607	1
118	263	30	1
119	263	1881	1
120	25	2427	1
121	25	327	1
122	132	954	1
123	808	1607	1
124	2459	1629	1
125	2459	860	1
126	2459	1697	1
127	2459	2680	1
128	2459	2257	1
129	2459	1153	1
130	2459	695	1
131	984	2205	1
132	984	2427	1
133	984	1522	1
134	2240	2205	1
135	2240	1522	1
136	2240	2677	1
137	1556	2456	1
138	1556	1035	1
139	1556	1756	1
140	811	2544	1
141	811	1522	1
142	558	163	1
143	2614	854	1
144	2643	1738	1
145	271	2544	1
