	0
0	953.0
1	571.0
2	594.0
3	135.0
4	919.0
5	98.0
6	317.0
7	100.0
8	127.0
9	831.0
10	208.0
11	84.0
12	102.0
13	149.0
14	564.0
15	383.0
16	200.0
17	171.0
18	601.0
19	124.0
20	78.0
21	96.0
22	124.0
23	164.0
24	110.0
25	130.0
26	76.0
27	167.0
28	354.0
29	455.0
30	629.0
31	3939.0
32	778.0
33	88.0
34	588.0
35	132.0
36	57.0
37	225.0
38	108.0
39	194.0
40	108.0
41	127.0
42	249.0
43	326.0
44	13677.0
45	461.0
46	106.0
47	61.0
48	775.0
49	1005.0
50	61.0
51	166.0
52	216.0
53	10597.0
54	508.0
55	295.0
56	77.0
57	2208.0
58	2926.0
59	1074.0
60	210.0
61	523.0
62	500.0
63	857.0
64	760.0
65	210.0
66	82.0
67	995.0
68	56.0
69	98.0
70	787.0
71	172.0
72	292.0
73	377.0
74	354.0
75	131.0
76	52.0
77	499.0
78	40.0
79	1160.0
80	563.0
81	153.0
82	1226.0
83	1014.0
84	579.0
85	321.0
86	92.0
87	1365.0
88	106.0
89	131.0
90	37.0
91	149.0
92	215.0
93	2320.0
94	68.0
95	606.0
96	63.0
97	984.0
98	756.0
99	421.0
100	237.0
101	207.0
102	352.0
103	71.0
104	360.0
105	107.0
106	1327.0
107	147.0
108	344.0
109	178.0
110	355.0
111	3577.0
112	159.0
113	84.0
114	7462.0
115	191.0
116	109.0
117	396.0
118	199.0
119	336.0
120	100.0
121	90.0
122	97.0
123	8220.0
124	94.0
125	470.0
126	48.0
127	45.0
128	51.0
129	1583.0
130	412.0
131	732.0
132	435.0
133	168.0
134	560.0
135	140.0
136	340.0
137	813.0
138	977.0
139	4114.0
140	251.0
141	59.0
142	237.0
143	382.0
144	325.0
145	155.0
146	650.0
147	9243.0
148	105.0
149	153.0
150	153.0
151	301.0
152	115.0
153	91.0
154	97.0
155	15752.0
156	99.0
157	1482.0
158	1606.0
159	1335.0
160	188.0
161	482.0
162	53.0
163	637.0
164	377.0
165	2103.0
166	209.0
167	305.0
168	223.0
169	914.0
170	388.0
171	857.0
172	799.0
173	1291.0
174	204.0
175	3823.0
176	193.0
177	176.0
178	107.0
179	274.0
180	3356.0
181	271.0
182	122.0
183	157.0
184	125.0
185	143.0
186	193.0
187	653.0
188	807.0
189	3233.0
190	1242.0
191	180.0
192	168.0
193	86.0
194	2776.0
195	846.0
196	138.0
197	157.0
198	151.0
199	119.0
200	2056.0
201	469.0
202	101.0
203	102.0
204	52.0
205	220.0
206	398.0
207	35.0
208	1599.0
209	217.0
210	275.0
211	180.0
212	128.0
213	197.0
214	433.0
215	2356.0
216	12817.0
217	529.0
218	1152.0
219	232.0
220	94.0
221	88.0
222	264.0
223	485.0
224	332.0
225	1651.0
226	322.0
227	729.0
228	218.0
229	640.0
230	106.0
231	1315.0
232	83.0
233	317.0
234	72.0
235	112.0
236	348.0
237	5193.0
238	501.0
239	298.0
240	126.0
241	1154.0
242	277.0
243	3367.0
244	71.0
245	247.0
246	982.0
247	630.0
248	160.0
249	98.0
250	18766.0
251	331.0
252	1747.0
253	86.0
254	94.0
255	436.0
256	82.0
257	266.0
258	1633.0
259	167.0
260	99.0
261	1715.0
262	158.0
263	4462.0
264	174.0
265	147.0
266	16793.0
267	135.0
268	382.0
269	410.0
270	84.0
271	354.0
272	267.0
273	184.0
274	2270.0
275	874.0
276	22357.0
277	1111.0
278	509.0
279	2884.0
280	86.0
281	1402.0
282	1201.0
283	20102.0
284	605.0
285	154.0
286	83.0
287	2684.0
288	259.0
289	17614.0
290	576.0
291	478.0
292	186.0
293	2121.0
294	61.0
295	89.0
296	100.0
297	280.0
298	1537.0
299	1259.0
300	1016.0
301	71.0
302	256.0
303	494.0
304	211.0
305	301.0
306	42.0
307	486.0
308	213.0
309	896.0
310	167.0
311	631.0
312	819.0
313	118.0
314	299.0
315	96.0
316	1960.0
317	179.0
318	83.0
319	1365.0
320	76.0
321	1860.0
322	112.0
323	79.0
324	527.0
325	644.0
326	1684.0
327	126.0
328	127.0
329	38.0
330	408.0
331	849.0
332	82.0
333	114.0
