	protein_sequence1	protein_sequence2	interaction
0	218	2553	1
1	2134	100	1
2	2178	936	1
3	2178	2024	1
4	2178	2495	1
5	2178	1788	1
6	2063	48	1
7	2063	2226	1
8	1737	1531	1
9	2659	1333	1
10	2659	1365	1
11	158	2226	1
12	620	2226	1
13	1245	2553	1
14	765	1682	1
15	442	2402	1
16	442	2436	1
17	442	1205	1
18	1629	477	1
19	1944	2226	1
20	802	742	1
21	1888	2495	1
22	20	1312	1
23	1785	1743	1
24	2581	423	1
25	400	97	1
26	1547	2226	1
27	1879	1101	1
28	441	1229	1
29	728	2553	1
30	728	683	1
31	728	742	1
32	728	2167	1
33	1097	1101	1
34	562	60	1
35	2399	742	1
36	2533	826	1
37	484	2553	1
38	484	60	1
39	2696	826	1
40	1315	2047	1
41	1315	826	1
42	1315	336	1
43	1315	677	1
44	1076	1191	1
45	1076	2475	1
46	1254	826	1
47	1695	456	1
48	1695	2052	1
49	1695	1229	1
50	2064	734	1
51	2064	45	1
52	2064	603	1
53	2064	456	1
54	2064	386	1
55	2064	1229	1
56	2064	169	1
57	2064	1141	1
58	2064	1798	1
59	804	1402	1
60	804	2047	1
61	705	2553	1
62	2223	2671	1
63	2223	2661	1
64	2223	2349	1
65	2223	2737	1
66	2223	277	1
67	2223	1229	1
68	2223	2226	1
69	2223	1061	1
70	1007	826	1
71	463	291	1
72	2115	826	1
73	2706	128	1
74	2706	2226	1
75	2706	1779	1
76	2706	456	1
77	2706	742	1
78	2706	186	1
79	2706	826	1
80	2706	1984	1
81	2706	355	1
82	2706	48	1
83	2706	186	1
84	636	2226	1
85	636	48	1
86	813	1403	1
87	2365	277	1
88	2365	1984	1
89	2365	1061	1
90	1374	2627	1
91	80	2553	1
92	80	1984	1
93	1857	355	1
94	1954	2351	1
95	147	1229	1
96	147	603	1
97	147	386	1
98	147	2553	1
99	147	1285	1
100	132	425	1
101	132	2588	1
102	132	456	1
103	132	1229	1
104	132	603	1
105	132	386	1
106	132	683	1
107	132	1285	1
108	132	2302	1
109	132	2553	1
110	545	1646	1
111	545	2553	1
112	2080	1061	1
113	2080	711	1
114	2080	1682	1
115	752	1365	1
116	752	1229	1
117	752	1061	1
118	752	277	1
119	752	1682	1
120	933	2047	1
121	933	1402	1
122	945	1021	1
123	1176	1061	1
124	1046	1559	1
125	1046	383	1
126	1046	858	1
127	1046	1138	1
128	1046	1789	1
129	1046	1714	1
130	1046	1261	1
131	2603	1646	1
132	2603	2047	1
133	2603	2553	1
134	1588	1646	1
135	1588	2553	1
136	1588	683	1
137	155	1101	1
138	155	186	1
139	155	777	1
140	75	60	1
141	75	2553	1
142	1133	291	1
143	1470	319	1
144	965	2487	1
145	968	60	1
146	2174	386	1
147	1518	1229	1
148	1518	2553	1
149	1027	128	1
150	1487	2047	1
151	1487	336	1
152	1487	2220	1
153	1487	1402	1
154	1240	683	1
155	1990	808	1
156	1728	526	1
157	349	1682	1
158	1368	826	1
159	2040	60	1
160	2040	291	1
161	2040	708	1
162	1862	383	1
163	1862	2553	1
164	623	1229	1
165	213	60	1
166	213	1333	1
167	329	2226	1
168	329	48	1
169	996	936	1
170	996	1021	1
171	996	1511	1
172	996	1793	1
173	996	1779	1
174	1051	60	1
175	1051	1984	1
176	1051	742	1
177	750	355	1
178	528	60	1
179	1269	1371	1
180	1269	826	1
181	2558	456	1
182	2558	1229	1
183	2558	45	1
184	2558	603	1
185	2558	477	1
186	2558	1798	1
187	2558	617	1
188	515	291	1
189	515	2553	1
190	515	683	1
191	1230	1682	1
192	91	2168	1
193	388	1014	1
194	1537	1171	1
